Date,Average low,Average high,Record low,Record high
1-Nov,41¡,57¡,27¡ (1954),80¡ (1950)
2-Nov,40¡,56¡,18¡ (1951),76¡ (1961)
3-Nov,40¡,56¡,14¡ (1951),76¡ (1964)
4-Nov,39¡,55¡,15¡ (1991),76¡ (1987)
5-Nov,39¡,54¡,15¡ (1951),72¡ (1978)
6-Nov,39¡,54¡,23¡ (1971),77¡ (1978)
7-Nov,38¡,53¡,16¡ (1991),74¡ (1975)
8-Nov,38¡,53¡,15¡ (1991),65¡ (1949)
9-Nov,38¡,52¡,19¡ (1991),71¡ (1964)
10-Nov,37¡,52¡,23¡ (1957),70¡ (1949)
11-Nov,37¡,51¡,17¡ (1950),74¡ (1964)
12-Nov,37¡,51¡,20¡ (1976),70¡ (1949)
13-Nov,36¡,50¡,7¡ (1986),66¡ (1954)
14-Nov,36¡,50¡,16¡ (1986),74¡ (1989)
15-Nov,35¡,50¡,19¡ (1982),68¡ (1953)
16-Nov,35¡,49¡,9¡ (1959),71¡ (1952)
17-Nov,35¡,49¡,4¡ (1959),74¡ (1952)
18-Nov,34¡,48¡,14¡ (1959),71¡ (1953)
19-Nov,34¡,48¡,20¡ (1951),72¡ (1953)
20-Nov,33¡,47¡,15¡ (1964),69¡ (1991)
21-Nov,33¡,47¡,8¡ (1964),64¡ (1977)
22-Nov,33¡,46¡,13¡ (1964),65¡ (1990)
23-Nov,32¡,46¡,1¡ (1950),62¡ (1973)
24-Nov,32¡,45¡,0¡ (1950),69¡ (1966)
25-Nov,31¡,45¡,2¡ (1950),61¡ (1966)
26-Nov,31¡,44¡,6¡ (1977),63¡ (1965)
27-Nov,31¡,44¡,10¡ (1955),67¡ (1990)
28-Nov,30¡,44¡,4¡ (1955),64¡ (1990)
29-Nov,30¡,43¡,2¡ (1976),55¡ (1991)
30-Nov,29¡,43¡,4¡ (1958),63¡ (1975)
1-Dec,29¡,42¡,10¡ (1966),67¡ (1970)
2-Dec,28¡,42¡,5¡ (1976),69¡ (1982)
3-Dec,28¡,41¡,7¡ (1985),69¡ (1982)
4-Dec,28¡,41¡,3¡ (1991),62¡ (1961)
5-Dec,27¡,41¡,5¡ (1991),64¡ (1975)
6-Dec,27¡,40¡,3¡ (1977),65¡ (1951)
7-Dec,26¡,40¡,0¡ (1977),60¡ (1980)
8-Dec,26¡,40¡,3¡ (1958),63¡ (1966)
9-Dec,26¡,39¡,-4¡ (1958),61¡ (1991)
10-Dec,25¡,39¡,-5¡ (1978),59¡ (1971)
11-Dec,25¡,38¡,-1¡ (1962),62¡ (1949)
12-Dec,25¡,38¡,-4¡ (1962),57¡ (1990)
13-Dec,24¡,38¡,1¡ (1963),61¡ (1991)
14-Dec,24¡,37¡,-3¡ (1985),64¡ (1975)
15-Dec,24¡,37¡,-6¡ (1951),64¡ (1975)
16-Dec,23¡,37¡,-10¡ (1951),60¡ (1984)
17-Dec,23¡,37¡,0¡ (1951),62¡ (1984)
18-Dec,23¡,36¡,-5¡ (1985),56¡ (1977)
19-Dec,22¡,36¡,-10¡ (1983),55¡ (1957)
20-Dec,22¡,36¡,-5¡ (1963),58¡ (1949)
21-Dec,22¡,35¡,-13¡ (1989),60¡ (1967)
22-Dec,21¡,35¡,-12¡ (1989),56¡ (1957)
23-Dec,21¡,35¡,-11¡ (1983),58¡ (1982)
24-Dec,21¡,35¡,-20¡ (1983),60¡ (1982)
25-Dec,21¡,34¡,-12¡ (1983),63¡ (1982)
26-Dec,20¡,34¡,-6¡ (1983),63¡ (1982)
27-Dec,20¡,34¡,-2¡ (1950),58¡ (1959)
28-Dec,20¡,34¡,-2¡ (1961),65¡ (1984)
29-Dec,20¡,33¡,-5¡ (1976),66¡ (1984)
30-Dec,19¡,33¡,-5¡ (1983),57¡ (1965)
31-Dec,19¡,33¡,-9¡ (1967),58¡ (1965)
1-Jan,19¡,33¡,-9¡ (1968),48¡ (1950)
2-Jan,19¡,33¡,-11¡ (1979),59¡ (1950)
3-Jan,18¡,32¡,-10¡ (1979),60¡ (1950)
4-Jan,18¡,32¡,-7¡ (1969),50¡ (1993)
5-Jan,18¡,32¡,-10¡ (1988),50¡ (1955)
6-Jan,18¡,32¡,-10¡ (1988),46¡ (1987)
7-Jan,18¡,32¡,-12¡ (1968),52¡ (1949)
8-Jan,18¡,32¡,-8¡ (1976),56¡ (1989)
9-Jan,18¡,32¡,-9¡ (1962),48¡ (1990)
10-Jan,18¡,32¡,-21¡ (1982),55¡ (1975)
11-Jan,18¡,32¡,-14¡ (1982),60¡ (1975)
12-Jan,18¡,32¡,-6¡ (1977),58¡ (1960)
13-Jan,18¡,32¡,-5¡ (1963),55¡ (1960)
14-Jan,18¡,31¡,-6¡ (1963),57¡ (1952)
15-Jan,18¡,32¡,-16¡ (1972),62¡ (1949)
16-Jan,18¡,32¡,-16¡ (1977),56¡ (1949)
17-Jan,18¡,32¡,-16¡ (1982),59¡ (1952)
18-Jan,18¡,32¡,-20¡ (1994),56¡ (1973)
19-Jan,18¡,32¡,-17¡ (1994),53¡ (1952)
20-Jan,18¡,32¡,-24¡ (1985),53¡ (1954)
21-Jan,18¡,32¡,-15¡ (1985),55¡ (1957)
22-Jan,18¡,32¡,-7¡ (1970),57¡ (1967)
23-Jan,18¡,32¡,-16¡ (1963),59¡ (1967)
24-Jan,18¡,32¡,-11¡ (1963),65¡ (1967)
25-Jan,18¡,32¡,-3¡ (1963),67¡ (1950)
26-Jan,19¡,32¡,-3¡ (1955),55¡ (1973)
27-Jan,19¡,33¡,-8¡ (1955),57¡ (1973)
28-Jan,19¡,33¡,-13¡ (1977),54¡ (1970)
29-Jan,19¡,33¡,-16¡ (1966),51¡ (1968)
30-Jan,20¡,33¡,-15¡ (1966),55¡ (1988)
31-Jan,20¡,33¡,-5¡ (1971),62¡ (1989)
1-Feb,20¡,34¡,-4¡ (1971),65¡ (1989)
2-Feb,20¡,34¡,-12¡ (1951),52¡ (1990)
3-Feb,21¡,34¡,-7¡ (1970),53¡ (1992)
4-Feb,21¡,34¡,-2¡ (1979),58¡ (1992)
5-Feb,21¡,35¡,-9¡ (1979),54¡ (1964)
6-Feb,22¡,35¡,-9¡ (1982),52¡ (1965)
7-Feb,22¡,35¡,-2¡ (1972),52¡ (1965)
8-Feb,22¡,35¡,-6¡ (1951),56¡ (1990)
9-Feb,22¡,36¡,-3¡ (1958),61¡ (1990)
10-Feb,23¡,36¡,-8¡ (1982),56¡ (1965)
11-Feb,23¡,36¡,-6¡ (1955),61¡ (1976)
12-Feb,23¡,36¡,-5¡ (1981),54¡ (1977)
13-Feb,23¡,37¡,-2¡ (1988),61¡ (1984)
14-Feb,24¡,37¡,4¡ (1963),61¡ (1954)
15-Feb,24¡,37¡,2¡ (1986),68¡ (1954)
16-Feb,24¡,38¡,-5¡ (1958),65¡ (1976)
17-Feb,25¡,38¡,-4¡ (1958),54¡ (1981)
18-Feb,25¡,38¡,1¡ (1958),61¡ (1961)
19-Feb,25¡,39¡,0¡ (1979),61¡ (1981)
20-Feb,25¡,39¡,-1¡ (1963),63¡ (1981)
21-Feb,26¡,39¡,-5¡ (1963),64¡ (1983)
22-Feb,26¡,40¡,-4¡ (1963),60¡ (1991)
23-Feb,26¡,40¡,9¡ (1963),62¡ (1984)
24-Feb,27¡,40¡,-5¡ (1967),62¡ (1984)
25-Feb,27¡,41¡,-6¡ (1967),64¡ (1976)
26-Feb,27¡,41¡,4¡ (1963),64¡ (1976)
27-Feb,27¡,41¡,3¡ (1963),67¡ (1976)
28-Feb,28¡,42¡,4¡ (1962),71¡ (1976)
,,,,
