STATION_NAME,DATE,TMAX,TMIN
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161101,75,61
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161102,65,55
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161103,67,48
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161104,63,40
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161105,68,43
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161106,69,42
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161107,66,42
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161108,63,49
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161109,58,41
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161110,63,41
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161111,52,37
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161112,52,31
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161113,56,35
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161114,60,41
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161115,54,38
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161116,60,39
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161117,72,44
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161118,66,39
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161119,39,28
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161120,35,23
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161121,41,22
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161122,41,25
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161123,44,37
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161124,43,35
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161125,42,31
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161126,47,32
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161127,44,32
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161128,51,41
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161129,57,44
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161130,45,34
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161201,41,35
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161202,40,34
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161203,34,29
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161204,33,27
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161205,34,31
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161206,41,25
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161207,27,22
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161208,24,17
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161209,25,18
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161210,23,18
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161211,33,23
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161212,32,7
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161213,22,2
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161214,19,3
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161215,9,-2
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161216,20,7
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161217,22,18
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161218,18,-7
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161219,15,-13
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20161220,28,14
